For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,For Düsseldorf_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,For Düsseldorf_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-10,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,3,1,Villingen,3,28,10,35.7,0.11,0.3,,,0,0,,,,,,Match Report,2019-08-10,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,3,1,Villingen,4,1,4,100.0,0,,,1,1,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-10,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,3,1,Villingen,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2019-08-10,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,3,1,Villingen,,,,,,,44,,,,,,,,,Match Report,2019-08-10,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,3,1,Villingen,,,,,,,,,,,,,,,Match Report,2019-08-10,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,3,1,Villingen,,18,,,,,,,,,,,11,0,,,Match Report,2019-08-10,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,3,1,Villingen,75.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-10,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,3,1,Villingen,4,0,0,14,18,3,44,11,18,,,0,,,,,Match Report
2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,3,1,Werder Bremen,3,12,7,58.3,0.25,0.43,19.4,0.0,0,0,1.0,1.0,0.08,2.0,2.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,3,1,Werder Bremen,10,1,9,90.0,0,1.5,0.5,0,0,0,0,9.0,21.0,42.9,29.0,7.0,51.7,42.1,7.0,85.7,62.9,28.0,1.0,3.6,0.0,5.8,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,3,1,Werder Bremen,257.0,350.0,73.4,5557.0,2261.0,93.0,106.0,87.7,104.0,124.0,83.9,53.0,92.0,57.6,3,0.9,1.0,9.0,16.0,6.0,1.0,26.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,3,1,Werder Bremen,350.0,311.0,38.0,11.0,0.0,4.0,21,13.0,5.0,0.0,5.0,0.0,257.0,1.0,14.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,3,1,Werder Bremen,22.0,15.0,3.0,2.0,2.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,3,1,Werder Bremen,16.0,9,11.0,4.0,1.0,4.0,9.0,44.4,5.0,14.0,5.0,9.0,11,27,30.0,1.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,3,1,Werder Bremen,33.0,478.0,81.0,184.0,191.0,109.0,14.0,478.0,8.0,6.0,75.0,2.0,25.0,205.0,1183.0,599.0,13.0,9.0,0.0,15.0,7.0,253.0,26.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,3,1,Werder Bremen,2,0,0,13,8,1,21,11,9,0.0,0.0,0,42.0,14.0,19.0,42.4,Match Report
2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1,3,Leverkusen,1,12,6,50.0,0.08,0.17,20.2,2.0,0,0,1.0,1.0,0.08,0.0,0.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1,3,Leverkusen,6,3,4,50.0,0,1.5,-0.5,0,0,0,0,11.0,21.0,52.4,22.0,4.0,50.0,38.6,12.0,83.3,56.7,9.0,0.0,0.0,1.0,10.7,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1,3,Leverkusen,241.0,330.0,73.0,4743.0,2049.0,105.0,126.0,83.3,97.0,125.0,77.6,36.0,62.0,58.1,0,0.4,0.4,8.0,22.0,4.0,1.0,33.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1,3,Leverkusen,330.0,282.0,47.0,10.0,0.0,5.0,9,20.0,1.0,0.0,1.0,0.0,241.0,1.0,8.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1,3,Leverkusen,21.0,12.0,2.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1,3,Leverkusen,17.0,10,8.0,6.0,3.0,3.0,12.0,25.0,9.0,13.0,4.0,9.0,10,27,5.0,0.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1,3,Leverkusen,32.0,425.0,56.0,144.0,193.0,97.0,10.0,425.0,28.0,13.0,46.4,15.0,53.6,213.0,1188.0,600.0,15.0,15.0,3.0,11.0,8.0,238.0,33.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1,3,Leverkusen,3,0,0,15,10,1,9,10,10,0.0,0.0,1,47.0,8.0,15.0,34.8,Match Report
2019-09-01,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,2,Eint Frankfurt,1,14,4,28.6,0.07,0.25,22.4,1.0,0,0,0.9,0.9,0.06,0.1,0.1,Match Report,2019-09-01,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,2,Eint Frankfurt,8,2,6,75.0,0,2.3,0.3,0,0,0,0,10.0,23.0,43.5,28.0,4.0,53.6,44.3,8.0,100.0,68.4,20.0,2.0,10.0,1.0,10.1,Match Report,2019-09-01,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,2,Eint Frankfurt,238.0,371.0,64.2,5157.0,2341.0,83.0,113.0,73.5,95.0,127.0,74.8,49.0,90.0,54.4,1,0.6,0.6,9.0,23.0,11.0,3.0,35.0,Match Report,2019-09-01,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,2,Eint Frankfurt,371.0,319.0,49.0,14.0,1.0,8.0,15,23.0,1.0,0.0,1.0,0.0,238.0,3.0,15.0,Match Report,2019-09-01,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,2,Eint Frankfurt,24.0,15.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-01,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,2,Eint Frankfurt,17.0,13,8.0,9.0,0.0,7.0,27.0,25.9,20.0,12.0,2.0,10.0,11,28,14.0,0.0,Match Report,2019-09-01,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,2,Eint Frankfurt,42.0,485.0,48.0,146.0,207.0,139.0,22.0,485.0,17.0,11.0,64.7,6.0,35.3,166.0,1104.0,715.0,18.0,12.0,2.0,17.0,5.0,236.0,35.0,Match Report,2019-09-01,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,2,Eint Frankfurt,4,0,0,16,14,3,15,11,13,0.0,0.0,0,55.0,28.0,29.0,49.1,Match Report
2019-09-13,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Home,D,1,1,Wolfsburg,1,12,3,25.0,0.08,0.33,23.7,2.0,0,0,0.7,0.7,0.06,0.3,0.3,Match Report,2019-09-13,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Home,D,1,1,Wolfsburg,6,1,5,83.3,0,2.1,1.1,0,0,0,0,9.0,18.0,50.0,35.0,11.0,40.0,35.5,5.0,80.0,58.6,22.0,3.0,13.6,0.0,6.0,Match Report,2019-09-13,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Home,D,1,1,Wolfsburg,278.0,389.0,71.5,6248.0,2709.0,98.0,122.0,80.3,116.0,149.0,77.9,61.0,99.0,61.6,1,0.4,0.6,8.0,28.0,10.0,4.0,42.0,Match Report,2019-09-13,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Home,D,1,1,Wolfsburg,389.0,344.0,44.0,14.0,0.0,12.0,12,20.0,3.0,3.0,0.0,0.0,278.0,1.0,8.0,Match Report,2019-09-13,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Home,D,1,1,Wolfsburg,23.0,14.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-13,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Home,D,1,1,Wolfsburg,22.0,13,11.0,8.0,3.0,10.0,21.0,47.6,11.0,18.0,4.0,14.0,8,30,25.0,0.0,Match Report,2019-09-13,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Home,D,1,1,Wolfsburg,42.0,518.0,70.0,211.0,195.0,120.0,22.0,518.0,18.0,8.0,44.4,10.0,55.6,256.0,1383.0,692.0,16.0,5.0,4.0,21.0,12.0,276.0,42.0,Match Report,2019-09-13,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Home,D,1,1,Wolfsburg,0,0,0,7,14,1,12,8,13,0.0,0.0,0,62.0,20.0,10.0,66.7,Match Report
2019-09-22,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1,2,Gladbach,1,18,4,22.2,0.06,0.25,23.6,0.0,0,0,1.2,1.2,0.07,-0.2,-0.2,Match Report,2019-09-22,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1,2,Gladbach,11,2,9,81.8,0,3.2,1.2,0,0,0,0,8.0,23.0,34.8,26.0,9.0,69.2,47.8,8.0,62.5,47.5,24.0,0.0,0.0,0.0,6.0,Match Report,2019-09-22,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1,2,Gladbach,279.0,389.0,71.7,5575.0,2284.0,113.0,134.0,84.3,102.0,127.0,80.3,54.0,96.0,56.3,1,1.0,1.0,13.0,25.0,8.0,1.0,36.0,Match Report,2019-09-22,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1,2,Gladbach,389.0,334.0,54.0,20.0,1.0,8.0,21,19.0,4.0,1.0,3.0,0.0,279.0,1.0,11.0,Match Report,2019-09-22,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1,2,Gladbach,30.0,16.0,5.0,5.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-22,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1,2,Gladbach,15.0,9,6.0,8.0,1.0,7.0,23.0,30.4,16.0,10.0,7.0,3.0,7,22,28.0,0.0,Match Report,2019-09-22,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1,2,Gladbach,42.0,510.0,80.0,173.0,195.0,146.0,20.0,510.0,14.0,9.0,64.3,5.0,35.7,223.0,1237.0,721.0,10.0,8.0,2.0,10.0,8.0,276.0,35.0,Match Report,2019-09-22,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1,2,Gladbach,3,0,0,11,13,1,21,7,9,0.0,0.0,0,42.0,12.0,18.0,40.0,Match Report
2019-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Home,L,1,2,Freiburg,1,18,7,38.9,0.06,0.14,18.1,1.0,0,0,1.5,1.4,0.08,-0.5,-0.4,Match Report,2019-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Home,L,1,2,Freiburg,3,2,0,33.3,0,2.3,0.3,1,0,1,0,10.0,15.0,66.7,32.0,6.0,43.8,34.6,3.0,33.3,35.7,6.0,0.0,0.0,2.0,25.5,Match Report,2019-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Home,L,1,2,Freiburg,430.0,537.0,80.1,8601.0,2950.0,141.0,161.0,87.6,237.0,271.0,87.5,50.0,87.0,57.5,1,0.7,0.6,10.0,26.0,6.0,2.0,45.0,Match Report,2019-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Home,L,1,2,Freiburg,537.0,491.0,42.0,9.0,2.0,9.0,24,22.0,5.0,1.0,4.0,0.0,430.0,4.0,10.0,Match Report,2019-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Home,L,1,2,Freiburg,29.0,15.0,5.0,4.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Match Report,2019-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Home,L,1,2,Freiburg,14.0,11,11.0,2.0,1.0,7.0,14.0,50.0,7.0,10.0,4.0,6.0,6,20,11.0,0.0,Match Report,2019-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Home,L,1,2,Freiburg,55.0,616.0,43.0,185.0,291.0,147.0,23.0,616.0,17.0,10.0,58.8,7.0,41.2,346.0,2118.0,1059.0,16.0,10.0,4.0,7.0,7.0,426.0,43.0,Match Report,2019-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Home,L,1,2,Freiburg,2,0,0,9,11,4,24,6,11,0.0,1.0,0,47.0,18.0,9.0,66.7,Match Report
2019-10-04,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Away,L,1,3,Hertha BSC,1,9,2,22.2,0.0,0.0,22.1,1.0,1,1,1.3,0.5,0.05,-0.3,-0.5,Match Report,2019-10-04,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Away,L,1,3,Hertha BSC,3,3,0,0.0,0,1.8,-1.2,0,0,0,0,4.0,8.0,50.0,21.0,4.0,23.8,29.0,6.0,50.0,47.3,20.0,1.0,5.0,1.0,12.3,Match Report,2019-10-04,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Away,L,1,3,Hertha BSC,358.0,445.0,80.4,6607.0,2545.0,147.0,166.0,88.6,146.0,173.0,84.4,51.0,76.0,67.1,0,0.4,0.4,7.0,25.0,6.0,3.0,39.0,Match Report,2019-10-04,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Away,L,1,3,Hertha BSC,445.0,388.0,57.0,15.0,0.0,7.0,15,30.0,2.0,0.0,2.0,0.0,358.0,0.0,7.0,Match Report,2019-10-04,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Away,L,1,3,Hertha BSC,19.0,13.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,Match Report,2019-10-04,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Away,L,1,3,Hertha BSC,11.0,5,8.0,1.0,2.0,7.0,19.0,36.8,12.0,15.0,6.0,9.0,10,21,17.0,0.0,Match Report,2019-10-04,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Away,L,1,3,Hertha BSC,48.0,540.0,54.0,190.0,245.0,110.0,12.0,539.0,13.0,6.0,46.2,7.0,53.8,280.0,1371.0,705.0,14.0,4.0,2.0,10.0,13.0,355.0,38.0,Match Report,2019-10-04,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Away,L,1,3,Hertha BSC,3,0,0,18,16,0,15,10,5,1.0,0.0,0,46.0,11.0,16.0,40.7,Match Report
2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,1,0,Mainz 05,1,20,4,20.0,0.05,0.25,20.7,0.0,0,0,1.6,1.6,0.08,-0.6,-0.6,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,1,0,Mainz 05,1,0,1,100.0,1,0.1,0.1,0,0,0,0,3.0,12.0,25.0,25.0,4.0,36.0,33.8,4.0,75.0,57.3,4.0,0.0,0.0,0.0,13.8,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,1,0,Mainz 05,417.0,524.0,79.6,8709.0,2975.0,144.0,164.0,87.8,205.0,244.0,84.0,68.0,109.0,62.4,1,1.6,1.4,18.0,39.0,11.0,5.0,52.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,1,0,Mainz 05,524.0,467.0,57.0,20.0,1.0,14.0,38,24.0,8.0,0.0,8.0,0.0,417.0,0.0,4.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,1,0,Mainz 05,35.0,21.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,1,0,Mainz 05,15.0,11,4.0,9.0,2.0,6.0,12.0,50.0,6.0,9.0,3.0,6.0,9,24,12.0,0.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,1,0,Mainz 05,55.0,628.0,39.0,145.0,317.0,169.0,19.0,628.0,18.0,8.0,44.4,10.0,55.6,360.0,2126.0,1024.0,23.0,18.0,2.0,13.0,6.0,417.0,52.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,1,0,Mainz 05,2,0,0,11,17,0,38,9,11,0.0,0.0,0,48.0,23.0,15.0,60.5,Match Report
2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,2,Paderborn 07,0,18,4,22.2,0.0,0.0,19.8,1.0,0,0,1.4,1.4,0.08,-1.4,-1.4,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,2,Paderborn 07,6,2,4,66.7,0,1.7,-0.3,0,0,0,0,10.0,23.0,43.5,33.0,5.0,51.5,37.8,11.0,54.5,46.0,10.0,0.0,0.0,1.0,21.3,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,2,Paderborn 07,314.0,430.0,73.0,6424.0,2844.0,117.0,146.0,80.1,147.0,178.0,82.6,48.0,94.0,51.1,0,0.8,0.7,8.0,22.0,5.0,1.0,31.0,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,2,Paderborn 07,430.0,363.0,66.0,24.0,3.0,4.0,21,21.0,7.0,0.0,7.0,0.0,314.0,1.0,4.0,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,2,Paderborn 07,29.0,13.0,7.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,2,Paderborn 07,12.0,11,6.0,5.0,1.0,6.0,13.0,46.2,7.0,8.0,1.0,7.0,11,23,16.0,0.0,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,2,Paderborn 07,51.0,548.0,60.0,205.0,208.0,138.0,19.0,548.0,12.0,9.0,75.0,3.0,25.0,276.0,1227.0,542.0,11.0,10.0,1.0,25.0,9.0,310.0,30.0,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,2,Paderborn 07,4,0,0,16,23,1,21,11,11,0.0,0.0,0,45.0,18.0,15.0,54.5,Match Report
2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,2,18,6,33.3,0.06,0.17,,,1,1,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,,,,,,,28,,,,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,,,,,,,,,,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,,6,,,,,,,,,,,6,0,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,60.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,2,0,0,12,16,7,28,6,6,,,0,,,,,Match Report
