For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,For Mönchengladbach_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,For Mönchengladbach_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-11,18:00 (09:00),DFB-Pokal,Round of 64,Fri,Away,W,7.0,0.0,TuS Bersenbrück,7,23,10,43.5,0.3,0.7,,,0,0,,,,,,Match Report,2023-08-11,18:00 (09:00),DFB-Pokal,Round of 64,Fri,Away,W,7.0,0.0,TuS Bersenbrück,2,0,2,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-08-11,18:00 (09:00),DFB-Pokal,Round of 64,Fri,Away,W,7.0,0.0,TuS Bersenbrück,,,,,,,,,,,,,,,6,,,,,,,,Match Report,2023-08-11,18:00 (09:00),DFB-Pokal,Round of 64,Fri,Away,W,7.0,0.0,TuS Bersenbrück,,,,,,,10,,,,,,,,,Match Report,2023-08-11,18:00 (09:00),DFB-Pokal,Round of 64,Fri,Away,W,7.0,0.0,TuS Bersenbrück,,,,,,,,,,,,,,,Match Report,2023-08-11,18:00 (09:00),DFB-Pokal,Round of 64,Fri,Away,W,7.0,0.0,TuS Bersenbrück,,8,,,,,,,,,,,12,0,,,Match Report,2023-08-11,18:00 (09:00),DFB-Pokal,Round of 64,Fri,Away,W,7.0,0.0,TuS Bersenbrück,59.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-08-11,18:00 (09:00),DFB-Pokal,Round of 64,Fri,Away,W,7.0,0.0,TuS Bersenbrück,1,0,0,8,8,6,10,12,8,,,0,,,,,Match Report
2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,4.0,4.0,Augsburg,4,9,4,44.4,0.33,0.75,17.0,0.0,1,1,1.7,0.9,0.1,2.3,2.1,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,4.0,4.0,Augsburg,7,4,3,57.1,0,2.7,-1.3,1,1,0,0,5.0,20.0,25.0,33.0,3.0,48.5,40.7,9.0,44.4,36.4,20.0,0.0,0.0,1.0,11.8,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,4.0,4.0,Augsburg,305.0,406.0,75.1,5666.0,2153.0,143.0,167.0,85.6,124.0,150.0,82.7,36.0,79.0,45.6,3,0.9,0.6,9.0,25.0,7.0,3.0,23.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,4.0,4.0,Augsburg,406.0,360.0,45.0,12.0,1.0,1.0,19,12.0,7.0,4.0,3.0,0.0,305.0,1.0,5.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,4.0,4.0,Augsburg,18.0,12.0,2.0,2.0,1.0,1.0,0.0,7.0,5.0,1.0,0.0,0.0,1.0,0.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,4.0,4.0,Augsburg,10.0,6,3.0,6.0,1.0,5.0,7.0,71.4,2.0,18.0,6.0,12.0,7,17,19.0,0.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,4.0,4.0,Augsburg,44.0,506.0,72.0,193.0,195.0,125.0,21.0,505.0,16.0,7.0,43.8,6.0,37.5,304.0,1567.0,743.0,19.0,12.0,9.0,13.0,7.0,304.0,23.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,4.0,4.0,Augsburg,2,0,0,13,9,1,19,7,6,1.0,1.0,0,46.0,15.0,22.0,40.5,Match Report
2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,0.0,3.0,Leverkusen,0,12,2,16.7,0.0,0.0,19.4,0.0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,0.0,3.0,Leverkusen,11,3,8,72.7,0,3.3,0.3,0,0,0,0,6.0,12.0,50.0,34.0,10.0,32.4,33.5,7.0,14.3,18.7,7.0,1.0,14.3,1.0,15.3,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,0.0,3.0,Leverkusen,402.0,494.0,81.4,7080.0,2624.0,177.0,192.0,92.2,193.0,223.0,86.5,30.0,64.0,46.9,0,0.8,1.3,10.0,35.0,11.0,1.0,42.0,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,0.0,3.0,Leverkusen,494.0,456.0,37.0,9.0,2.0,1.0,18,12.0,5.0,3.0,2.0,0.0,402.0,1.0,7.0,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,0.0,3.0,Leverkusen,22.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,0.0,3.0,Leverkusen,20.0,12,12.0,4.0,4.0,7.0,14.0,50.0,7.0,14.0,7.0,7.0,16,36,22.0,0.0,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,0.0,3.0,Leverkusen,40.0,624.0,89.0,213.0,265.0,153.0,20.0,624.0,10.0,0.0,0.0,9.0,90.0,258.0,1487.0,825.0,18.0,17.0,4.0,13.0,7.0,399.0,42.0,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,0.0,3.0,Leverkusen,2,0,0,7,8,1,18,16,12,0.0,0.0,0,57.0,7.0,5.0,58.3,Match Report
2023-09-02,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Bayern Munich,1,7,3,42.9,0.14,0.33,24.5,1.0,0,0,0.3,0.3,0.05,0.7,0.7,Match Report,2023-09-02,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Bayern Munich,7,2,5,71.4,0,1.5,-0.5,0,0,0,0,6.0,15.0,40.0,34.0,9.0,35.3,33.4,11.0,27.3,32.6,27.0,0.0,0.0,0.0,5.8,Match Report,2023-09-02,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Bayern Munich,270.0,371.0,72.8,5191.0,2130.0,111.0,130.0,85.4,116.0,143.0,81.1,38.0,70.0,54.3,1,0.3,0.5,6.0,19.0,1.0,0.0,20.0,Match Report,2023-09-02,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Bayern Munich,371.0,324.0,47.0,20.0,2.0,4.0,10,12.0,1.0,0.0,1.0,0.0,270.0,0.0,13.0,Match Report,2023-09-02,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Bayern Munich,13.0,4.0,6.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Match Report,2023-09-02,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Bayern Munich,25.0,15,16.0,8.0,1.0,16.0,36.0,44.4,20.0,19.0,11.0,8.0,8,33,41.0,0.0,Match Report,2023-09-02,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Bayern Munich,35.0,505.0,115.0,273.0,179.0,58.0,7.0,505.0,13.0,4.0,30.8,8.0,61.5,240.0,1141.0,531.0,8.0,2.0,1.0,7.0,7.0,270.0,20.0,Match Report,2023-09-02,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Bayern Munich,0,0,0,5,19,0,10,8,15,0.0,0.0,0,48.0,14.0,16.0,46.7,Match Report
2023-09-17,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Away,D,3.0,3.0,Darmstadt 98,3,21,9,42.9,0.14,0.33,16.0,0.0,0,1,3.9,3.1,0.15,-0.9,-0.1,Match Report,2023-09-17,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Away,D,3.0,3.0,Darmstadt 98,8,3,5,62.5,0,2.5,-0.5,0,0,0,0,0.0,3.0,0.0,27.0,5.0,11.1,25.2,6.0,0.0,21.2,10.0,1.0,10.0,3.0,22.2,Match Report,2023-09-17,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Away,D,3.0,3.0,Darmstadt 98,517.0,608.0,85.0,8519.0,2905.0,253.0,274.0,92.3,222.0,247.0,89.9,33.0,65.0,50.8,2,2.8,2.3,17.0,43.0,12.0,9.0,49.0,Match Report,2023-09-17,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Away,D,3.0,3.0,Darmstadt 98,608.0,559.0,48.0,15.0,5.0,1.0,29,17.0,6.0,4.0,1.0,0.0,517.0,1.0,8.0,Match Report,2023-09-17,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Away,D,3.0,3.0,Darmstadt 98,40.0,35.0,2.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,2023-09-17,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Away,D,3.0,3.0,Darmstadt 98,11.0,8,2.0,9.0,0.0,7.0,10.0,70.0,3.0,9.0,3.0,6.0,4,15,12.0,0.0,Match Report,2023-09-17,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Away,D,3.0,3.0,Darmstadt 98,63.0,711.0,48.0,165.0,351.0,199.0,30.0,710.0,23.0,6.0,26.1,16.0,69.6,388.0,2143.0,1315.0,29.0,23.0,5.0,7.0,7.0,515.0,49.0,Match Report,2023-09-17,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Away,D,3.0,3.0,Darmstadt 98,1,0,0,8,11,1,29,4,8,0.0,0.0,0,52.0,14.0,12.0,53.8,Match Report
2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,0.0,1.0,RB Leipzig,0,14,1,7.1,0.0,0.0,16.0,1.0,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,0.0,1.0,RB Leipzig,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,6.0,16.0,37.5,26.0,3.0,50.0,36.6,4.0,75.0,49.3,11.0,1.0,9.1,0.0,11.8,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,0.0,1.0,RB Leipzig,382.0,487.0,78.4,6744.0,2360.0,164.0,184.0,89.1,155.0,179.0,86.6,46.0,80.0,57.5,0,0.6,0.8,13.0,25.0,3.0,1.0,35.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,0.0,1.0,RB Leipzig,487.0,442.0,43.0,8.0,2.0,2.0,20,18.0,11.0,5.0,5.0,0.0,382.0,2.0,19.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,0.0,1.0,RB Leipzig,25.0,13.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,0.0,1.0,RB Leipzig,12.0,9,4.0,8.0,0.0,2.0,11.0,18.2,9.0,21.0,4.0,17.0,11,23,16.0,0.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,0.0,1.0,RB Leipzig,45.0,597.0,46.0,187.0,301.0,118.0,15.0,597.0,18.0,7.0,38.9,9.0,50.0,294.0,1759.0,857.0,17.0,15.0,2.0,12.0,13.0,381.0,35.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,0.0,1.0,RB Leipzig,1,0,0,14,7,2,20,11,9,0.0,0.0,0,60.0,16.0,19.0,45.7,Match Report
2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3.0,1.0,Bochum,3,27,8,29.6,0.11,0.38,15.3,0.0,0,0,2.9,2.9,0.12,0.1,0.1,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3.0,1.0,Bochum,4,1,3,75.0,0,1.0,0.0,0,0,0,0,6.0,28.0,21.4,22.0,2.0,63.6,45.6,19.0,73.7,56.6,30.0,0.0,0.0,0.0,14.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3.0,1.0,Bochum,225.0,355.0,63.4,4563.0,2527.0,90.0,118.0,76.3,90.0,122.0,73.8,41.0,101.0,40.6,3,2.3,1.8,20.0,14.0,9.0,3.0,35.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3.0,1.0,Bochum,355.0,292.0,60.0,14.0,1.0,4.0,19,15.0,10.0,2.0,7.0,0.0,225.0,3.0,6.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3.0,1.0,Bochum,44.0,26.0,7.0,2.0,7.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3.0,1.0,Bochum,10.0,5,5.0,4.0,1.0,4.0,7.0,57.1,3.0,13.0,8.0,5.0,8,18,46.0,0.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3.0,1.0,Bochum,42.0,512.0,99.0,220.0,161.0,137.0,37.0,512.0,21.0,9.0,42.9,8.0,38.1,224.0,1037.0,485.0,16.0,9.0,9.0,17.0,4.0,219.0,34.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3.0,1.0,Bochum,3,0,0,12,12,3,19,8,5,0.0,0.0,0,62.0,29.0,33.0,46.8,Match Report
