For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,For Atlético Madrid_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,For Atlético Madrid_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-15,17:30 (08:30),La Liga,Matchweek 1,Sun,Away,W,2,1,Celta Vigo,2,13,4,30.8,0.15,0.50,16.2,1,0,0,1.5,1.5,0.11,+0.5,+0.5,Match Report,2021-08-15,17:30 (08:30),La Liga,Matchweek 1,Sun,Away,W,2,1,Celta Vigo,2,1,1,100.0,0,1.2,+0.2,1,1,0,0,5,15,33.3,26,5,53.8,43.1,5,20.0,30.8,15,1,6.7,0,10.3,Match Report,2021-08-15,17:30 (08:30),La Liga,Matchweek 1,Sun,Away,W,2,1,Celta Vigo,367,469,78.3,6152,2288,180,209,86.1,104,122,85.2,54,83,65.1,2,1.0,0.7,10,17,2,0,25,Match Report,2021-08-15,17:30 (08:30),La Liga,Matchweek 1,Sun,Away,W,2,1,Celta Vigo,469,420,48,11,4,8,9,25,5,0,3,0,367,1,10,Match Report,2021-08-15,17:30 (08:30),La Liga,Matchweek 1,Sun,Away,W,2,1,Celta Vigo,24,13,5,2,2,2,0,4,3,0,1,0,0,0,Match Report,2021-08-15,17:30 (08:30),La Liga,Matchweek 1,Sun,Away,W,2,1,Celta Vigo,12,5,1,8,3,5,14,35.7,9,9,5,4,4,16,26,1,Match Report,2021-08-15,17:30 (08:30),La Liga,Matchweek 1,Sun,Away,W,2,1,Celta Vigo,47,576,66,201,256,127,18,576,29,24,82.8,5,17.2,322,1465,676,14,8,6,21,14,367,25,Match Report,2021-08-15,17:30 (08:30),La Liga,Matchweek 1,Sun,Away,W,2,1,Celta Vigo,5,1,0,9,11,1,9,4,5,0,1,0,56,20,5,80.0,Match Report
2021-08-22,19:30 (10:30),La Liga,Matchweek 2,Sun,Home,W,1,0,Elche,1,8,4,50.0,0.13,0.25,21.9,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Match Report,2021-08-22,19:30 (10:30),La Liga,Matchweek 2,Sun,Home,W,1,0,Elche,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,4,7,57.1,12,4,33.3,35.8,10,30.0,33.9,9,0,0.0,0,16.0,Match Report,2021-08-22,19:30 (10:30),La Liga,Matchweek 2,Sun,Home,W,1,0,Elche,381,459,83.0,6721,2188,174,195,89.2,132,145,91.0,51,75,68.0,1,1.0,0.5,6,19,4,0,21,Match Report,2021-08-22,19:30 (10:30),La Liga,Matchweek 2,Sun,Home,W,1,0,Elche,459,409,45,10,2,5,7,22,2,1,1,0,381,5,4,Match Report,2021-08-22,19:30 (10:30),La Liga,Matchweek 2,Sun,Home,W,1,0,Elche,14,11,1,1,0,0,1,2,1,0,0,0,0,1,Match Report,2021-08-22,19:30 (10:30),La Liga,Matchweek 2,Sun,Home,W,1,0,Elche,27,16,9,17,1,15,24,62.5,9,10,0,10,8,35,9,0,Match Report,2021-08-22,19:30 (10:30),La Liga,Matchweek 2,Sun,Home,W,1,0,Elche,43,553,33,140,307,110,14,553,9,7,77.8,2,22.2,323,1874,1132,24,12,5,15,10,377,21,Match Report,2021-08-22,19:30 (10:30),La Liga,Matchweek 2,Sun,Home,W,1,0,Elche,2,0,0,16,9,5,7,8,16,0,0,0,39,7,5,58.3,Match Report
2021-08-29,22:00 (13:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Villarreal,1,23,3,13.0,0.04,0.33,19.7,1,0,0,1.7,1.7,0.07,-0.7,-0.7,Match Report,2021-08-29,22:00 (13:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Villarreal,2,2,0,0.0,0,0.8,-1.2,0,0,0,0,1,2,50.0,13,6,15.4,28.2,1,0.0,7.0,4,0,0.0,0,,Match Report,2021-08-29,22:00 (13:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Villarreal,394,480,82.1,6410,2276,206,223,92.4,120,143,83.9,45,73,61.6,1,0.9,1.1,13,27,20,7,53,Match Report,2021-08-29,22:00 (13:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Villarreal,480,432,43,6,0,8,36,17,16,5,9,0,394,5,4,Match Report,2021-08-29,22:00 (13:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Villarreal,39,27,3,4,4,1,0,2,2,0,0,0,0,0,Match Report,2021-08-29,22:00 (13:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Villarreal,12,8,8,3,1,10,17,58.8,7,8,0,8,7,19,8,0,Match Report,2021-08-29,22:00 (13:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Villarreal,49,581,21,132,214,238,43,581,18,8,44.4,10,55.6,325,1946,1109,29,19,7,15,14,393,53,Match Report,2021-08-29,22:00 (13:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Villarreal,5,0,0,11,6,5,36,7,8,0,0,0,50,7,13,35.0,Match Report
2021-09-12,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Espanyol,2,13,3,23.1,0.15,0.67,17.8,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Match Report,2021-09-12,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Espanyol,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,2,4,50.0,16,6,18.8,27.1,8,12.5,20.5,13,3,23.1,1,8.8,Match Report,2021-09-12,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Espanyol,468,570,82.1,7755,2436,230,261,88.1,178,202,88.1,42,71,59.2,1,0.5,1.0,9,38,11,1,55,Match Report,2021-09-12,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Espanyol,570,518,50,11,3,4,20,26,3,0,3,0,468,2,9,Match Report,2021-09-12,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Espanyol,19,17,0,1,0,0,1,4,4,0,0,0,0,0,Match Report,2021-09-12,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Espanyol,16,11,6,8,2,11,17,64.7,6,10,3,7,9,25,8,0,Match Report,2021-09-12,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Espanyol,58,662,43,146,293,228,32,662,22,15,68.2,7,31.8,419,2442,1464,27,12,7,14,15,466,55,Match Report,2021-09-12,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Espanyol,4,0,0,11,9,2,20,9,11,0,0,0,51,13,10,56.5,Match Report
2021-09-15,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,0,0,pt Porto,0,6,2,33.3,0.00,0.00,22.0,2,0,0,0.3,0.3,0.06,-0.3,-0.3,Match Report,2021-09-15,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,0,0,pt Porto,1,0,1,100.0,1,0.7,+0.7,0,0,0,0,3,10,30.0,22,6,22.7,26.5,11,45.5,36.4,5,0,0.0,1,22.5,Match Report,2021-09-15,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,0,0,pt Porto,382,475,80.4,6947,2101,170,186,91.4,161,180,89.4,43,83,51.8,0,0.2,0.5,3,18,2,0,32,Match Report,2021-09-15,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,0,0,pt Porto,475,414,56,19,1,10,15,21,4,1,2,0,382,5,4,Match Report,2021-09-15,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,0,0,pt Porto,11,5,2,1,0,3,0,0,0,0,0,0,0,0,Match Report,2021-09-15,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,0,0,pt Porto,14,9,8,5,1,6,15,40.0,9,4,0,4,7,21,8,1,Match Report,2021-09-15,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,0,0,pt Porto,56,553,52,173,273,117,16,553,16,10,62.5,6,37.5,346,1992,1019,18,13,5,20,4,380,32,Match Report,2021-09-15,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,0,0,pt Porto,3,0,0,14,20,5,15,7,9,0,0,0,39,13,8,61.9,Match Report
2021-09-18,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,0,0,Athletic Club,0,14,2,14.3,0.00,0.00,18.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2021-09-18,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,0,0,Athletic Club,0,0,0,,1,0.0,0.0,0,0,0,0,5,17,29.4,23,6,43.5,39.3,12,58.3,52.7,13,0,0.0,1,32.0,Match Report,2021-09-18,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,0,0,Athletic Club,443,545,81.3,8783,2916,175,188,93.1,173,198,87.4,75,118,63.6,0,0.8,1.6,12,32,13,1,55,Match Report,2021-09-18,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,0,0,Athletic Club,545,484,60,14,1,20,21,28,5,1,4,0,443,1,9,Match Report,2021-09-18,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,0,0,Athletic Club,25,22,2,0,0,1,0,0,0,0,0,0,0,0,Match Report,2021-09-18,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,0,0,Athletic Club,14,11,8,4,2,8,17,47.1,9,8,3,5,9,23,21,0,Match Report,2021-09-18,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,0,0,Athletic Club,55,646,68,186,262,206,38,646,23,15,65.2,8,34.8,399,1811,909,24,19,8,13,5,442,55,Match Report,2021-09-18,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,0,0,Athletic Club,6,1,1,10,13,1,21,9,11,0,0,0,42,14,12,53.8,Match Report
2021-09-21,19:30 (10:30),La Liga,Matchweek 6,Tue,Away,W,2,1,Getafe,2,12,4,33.3,0.17,0.50,17.7,0,0,0,1.1,1.1,0.10,+0.9,+0.9,Match Report,2021-09-21,19:30 (10:30),La Liga,Matchweek 6,Tue,Away,W,2,1,Getafe,1,1,1,0.0,0,0.2,+0.2,0,0,0,0,4,9,44.4,20,6,40.0,34.9,3,33.3,36.0,10,2,20.0,3,18.8,Match Report,2021-09-21,19:30 (10:30),La Liga,Matchweek 6,Tue,Away,W,2,1,Getafe,479,616,77.8,8227,2837,226,257,87.9,174,213,81.7,56,95,58.9,2,0.9,0.8,8,33,12,3,48,Match Report,2021-09-21,19:30 (10:30),La Liga,Matchweek 6,Tue,Away,W,2,1,Getafe,616,550,64,18,2,8,28,36,5,2,2,0,479,2,8,Match Report,2021-09-21,19:30 (10:30),La Liga,Matchweek 6,Tue,Away,W,2,1,Getafe,20,13,4,0,1,2,0,4,4,0,0,0,0,0,Match Report,2021-09-21,19:30 (10:30),La Liga,Matchweek 6,Tue,Away,W,2,1,Getafe,15,4,5,9,1,6,9,66.7,3,12,2,10,15,30,13,0,Match Report,2021-09-21,19:30 (10:30),La Liga,Matchweek 6,Tue,Away,W,2,1,Getafe,68,732,46,203,324,210,24,732,10,6,60.0,4,40.0,394,1848,889,17,16,3,16,10,475,48,Match Report,2021-09-21,19:30 (10:30),La Liga,Matchweek 6,Tue,Away,W,2,1,Getafe,5,0,0,11,15,2,28,15,4,0,0,1,53,27,12,69.2,Match Report
2021-09-25,14:00 (05:00),La Liga,Matchweek 7,Sat,Away,L,0,1,Alavés,0,13,1,7.7,0.00,0.00,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2021-09-25,14:00 (05:00),La Liga,Matchweek 7,Sat,Away,L,0,1,Alavés,1,1,0,0.0,0,0.5,-0.5,0,0,0,0,5,11,45.5,20,5,25.0,26.3,7,85.7,44.3,9,1,11.1,2,24.7,Match Report,2021-09-25,14:00 (05:00),La Liga,Matchweek 7,Sat,Away,L,0,1,Alavés,521,638,81.7,8579,2513,266,289,92.0,188,221,85.1,51,95,53.7,0,0.4,0.8,8,38,6,1,47,Match Report,2021-09-25,14:00 (05:00),La Liga,Matchweek 7,Sat,Away,L,0,1,Alavés,638,579,57,18,1,9,33,22,8,3,5,0,521,2,3,Match Report,2021-09-25,14:00 (05:00),La Liga,Matchweek 7,Sat,Away,L,0,1,Alavés,23,18,1,3,0,1,0,0,0,0,0,0,0,0,Match Report,2021-09-25,14:00 (05:00),La Liga,Matchweek 7,Sat,Away,L,0,1,Alavés,9,4,5,3,1,3,14,21.4,11,8,1,7,5,14,11,0,Match Report,2021-09-25,14:00 (05:00),La Liga,Matchweek 7,Sat,Away,L,0,1,Alavés,70,720,34,135,401,189,25,720,18,15,83.3,3,16.7,443,2860,1644,35,28,3,16,8,519,47,Match Report,2021-09-25,14:00 (05:00),La Liga,Matchweek 7,Sat,Away,L,0,1,Alavés,3,0,0,11,15,2,33,5,4,0,0,0,52,17,19,47.2,Match Report
2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,1,it Milan,2,21,4,19.0,0.05,0.25,20.0,0,1,1,2.1,1.3,0.06,-0.1,-0.3,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,1,it Milan,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,4,9,44.4,15,6,40.0,36.7,7,42.9,35.0,9,0,0.0,1,27.0,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,1,it Milan,523,616,84.9,8535,2858,276,298,92.6,173,198,87.4,51,75,68.0,1,1.2,2.0,18,45,19,4,71,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,1,it Milan,616,572,43,8,1,10,22,21,5,1,3,0,523,1,10,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,1,it Milan,39,34,2,1,2,0,0,3,3,0,0,0,0,0,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,1,it Milan,25,12,12,8,5,12,28,42.9,16,5,1,4,8,33,16,0,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,1,it Milan,64,740,40,148,318,278,41,739,16,9,56.3,7,43.8,470,2485,1596,38,25,4,21,16,519,71,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,1,it Milan,1,0,0,11,6,1,22,8,12,0,0,0,62,11,4,73.3,Match Report
2021-10-02,21:00 (12:00),La Liga,Matchweek 8,Sat,Home,W,2,0,Barcelona,2,6,3,50.0,0.33,0.67,16.3,0,0,0,1.2,1.2,0.19,+0.8,+0.8,Match Report,2021-10-02,21:00 (12:00),La Liga,Matchweek 8,Sat,Home,W,2,0,Barcelona,2,0,2,100.0,1,0.8,+0.8,0,0,0,0,3,24,12.5,26,1,50.0,40.3,12,91.7,57.7,17,1,5.9,2,18.0,Match Report,2021-10-02,21:00 (12:00),La Liga,Matchweek 8,Sat,Home,W,2,0,Barcelona,240,326,73.6,4160,1786,113,126,89.7,74,94,78.7,34,73,46.6,2,1.0,0.2,5,12,6,0,28,Match Report,2021-10-02,21:00 (12:00),La Liga,Matchweek 8,Sat,Home,W,2,0,Barcelona,326,284,42,12,0,7,7,15,2,1,1,0,240,0,7,Match Report,2021-10-02,21:00 (12:00),La Liga,Matchweek 8,Sat,Home,W,2,0,Barcelona,12,12,0,0,0,0,0,4,4,0,0,0,0,0,Match Report,2021-10-02,21:00 (12:00),La Liga,Matchweek 8,Sat,Home,W,2,0,Barcelona,18,11,9,6,3,10,19,52.6,9,13,3,10,6,24,23,1,Match Report,2021-10-02,21:00 (12:00),La Liga,Matchweek 8,Sat,Home,W,2,0,Barcelona,30,419,73,206,148,69,13,419,8,4,50.0,4,50.0,228,1123,521,11,9,4,10,10,239,28,Match Report,2021-10-02,21:00 (12:00),La Liga,Matchweek 8,Sat,Home,W,2,0,Barcelona,2,0,0,13,10,0,7,6,11,0,0,0,50,9,10,47.4,Match Report
2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,2,8,5,62.5,0.25,0.40,14.4,0,0,0,2.2,2.2,0.28,-0.2,-0.2,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,6,3,3,66.7,0,2.0,-1.0,1,1,0,0,4,20,20.0,19,5,57.9,46.7,11,81.8,54.0,13,1,7.7,0,5.0,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,237,330,71.8,4398,1868,100,115,87.0,99,120,82.5,28,68,41.2,2,2.2,0.9,7,15,5,1,24,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,330,289,38,9,6,9,8,12,2,0,0,0,237,3,10,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,14,10,0,2,1,0,1,3,1,0,1,1,0,0,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,17,7,8,9,0,9,18,50.0,9,10,1,9,5,22,19,0,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,32,422,54,147,208,75,13,422,18,10,55.6,8,44.4,200,1332,707,17,11,4,9,7,233,24,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,1,1,0,8,7,3,8,5,7,0,1,0,44,10,15,40.0,Match Report
